['182/200', '0.470743', '0.529783', '0.528144', '0.362734', '0.637745', '0.636167', '0:01:12']
['183/200', '0.456113', '0.544422', '0.542888', '0.359099', '0.641379', '0.640311', '0:01:11']
['184/200', '0.454165', '0.546394', '0.545061', '0.355849', '0.644631', '0.643122', '0:01:12']
['185/200', '0.470239', '0.530342', '0.528909', '0.356656', '0.643816', '0.642916', '0:01:11']
['186/200', '0.461655', '0.538898', '0.538303', '0.361386', '0.639117', '0.637870', '0:01:12']
['187/200', '0.468980', '0.531594', '0.530254', '0.361877', '0.638617', '0.637341', '0:01:12']
['188/200', '0.461551', '0.538984', '0.537749', '0.359187', '0.641331', '0.640207', '0:01:12']
['189/200', '0.451937', '0.548631', '0.547393', '0.356264', '0.644253', '0.642789', '0:01:11']
['190/200', '0.457520', '0.543126', '0.541949', '0.356577', '0.643921', '0.642383', '0:01:12']
['191/200', '0.472871', '0.527707', '0.526392', '0.363194', '0.637344', '0.636151', '0:01:12']
['192/200', '0.457267', '0.543330', '0.542251', '0.363468', '0.637093', '0.635724', '0:01:12']
['193/200', '0.461615', '0.538952', '0.538189', '0.360145', '0.640364', '0.638880', '0:01:12']
['194/200', '0.450744', '0.549827', '0.548568', '0.355860', '0.644617', '0.642962', '0:01:12']
['195/200', '0.459764', '0.540845', '0.539355', '0.361318', '0.639221', '0.637923', '0:01:12']
['196/200', '0.464784', '0.535884', '0.534299', '0.355241', '0.645251', '0.643357', '0:01:11']
['197/200', '0.458751', '0.541846', '0.540444', '0.358740', '0.641789', '0.640240', '0:01:11']
['198/200', '0.456696', '0.543961', '0.543151', '0.357774', '0.642755', '0.641348', '0:01:12']
['199/200', '0.462437', '0.538224', '0.536559', '0.359309', '0.641220', '0.639787', '0:01:12']
['200/200', '0.461753', '0.538866', '0.537596', '0.359699', '0.640863', '0.639208', '0:01:11']
