['178/200', '0.471987', '0.529620', '0.523517', '0.367720', '0.633594', '0.625307', '0:00:58']
['179/200', '0.473879', '0.527708', '0.520951', '0.370328', '0.631173', '0.625305', '0:00:57']
['180/200', '0.482667', '0.518998', '0.512574', '0.365071', '0.636256', '0.628393', '0:00:57']
['181/200', '0.475287', '0.526475', '0.519239', '0.365956', '0.635375', '0.626473', '0:00:57']
['182/200', '0.472065', '0.529543', '0.522898', '0.364248', '0.637263', '0.626167', '0:00:57']
['183/200', '0.470930', '0.530735', '0.524255', '0.364974', '0.636591', '0.628961', '0:00:57']
['184/200', '0.462723', '0.539080', '0.532502', '0.362944', '0.638513', '0.629565', '0:00:57']
['185/200', '0.470197', '0.531539', '0.523866', '0.365480', '0.635935', '0.626921', '0:00:57']
['186/200', '0.474276', '0.527540', '0.520461', '0.365007', '0.636298', '0.627056', '0:00:57']
['187/200', '0.488017', '0.513754', '0.506663', '0.362583', '0.638803', '0.630485', '0:00:57']
['188/200', '0.481107', '0.520620', '0.513625', '0.367081', '0.634384', '0.625304', '0:00:58']
['189/200', '0.485310', '0.516466', '0.509896', '0.363346', '0.638064', '0.628432', '0:00:57']
['190/200', '0.478639', '0.523161', '0.516823', '0.365138', '0.636392', '0.627572', '0:00:57']
['191/200', '0.470233', '0.531576', '0.524448', '0.361705', '0.639722', '0.630717', '0:00:57']
['192/200', '0.475474', '0.526506', '0.519507', '0.366514', '0.635042', '0.626552', '0:00:57']
['193/200', '0.465016', '0.536793', '0.529668', '0.362917', '0.638628', '0.629599', '0:00:58']
['194/200', '0.481590', '0.520249', '0.512332', '0.359087', '0.642384', '0.633343', '0:00:57']
['195/200', '0.485519', '0.516403', '0.510194', '0.363427', '0.638098', '0.628344', '0:00:57']
['196/200', '0.463422', '0.538413', '0.531386', '0.364538', '0.636970', '0.626969', '0:00:57']
['197/200', '0.470381', '0.531553', '0.524939', '0.363156', '0.638393', '0.629043', '0:00:57']
['198/200', '0.470380', '0.531577', '0.525119', '0.364611', '0.637000', '0.627048', '0:00:57']
['199/200', '0.480699', '0.521213', '0.515505', '0.360171', '0.641296', '0.630611', '0:00:57']
['200/200', '0.476893', '0.525185', '0.517827', '0.366354', '0.635332', '0.625265', '0:00:58']
